,IDEA,MAXI,UNIVEREXPORT,TEMPO,DIS,RODA,LIDL
Pašteta YUHOR pileća 75g,"92,99","92,99",-,"84,99","77,99","84,99",-
Pileći namaz POLI classic 50g,-,-,"49,99","56,99","61,99","56,99",-
Pileći namaz POLI gourmet 50g,-,-,"49,99","56,99","61,99","56,99",-
Pileći namaz POLI kids 50g,-,-,"49,99","56,99","61,99","56,99",-
Pašteta NEOPLANTA riblja 75g,"104,99",-,"64,99",-,"74,99","92,99",-
Pašteta PATELINA tuna povrće 60g,"114,99","114,99","79,99","104,99","89,99","104,99",-
Pašteta ARGETA losos 95g,"254,99","247,99","239,99","209,99","222,99","234,99",-
Pašteta ARGETA super tuna junior 95g,"189,99","179,99","170,99","154,99","179,99",-,-
Pašteta ARGETA tuna 95g,"149,99","179,99","184,99","169,99","179,99","149,99",-
Pašteta ARGETA tuna siciliana 95g,"162,99","186,99","170,99","172,99","179,99","162,99",-
Pašteta CARNEX Smazalice od tune 50g,"104,99","104,99","79,99","94,99","98,99","97,99",-
Pašteta PATELINA tuna 60g,"114,99","114,99","114,99","104,99","99,99","99,99",-
Pašteta YUHOR riblja 75g,-,"104,99",-,"97,99","90,99","97,99",-
Kobasica NEOPLANTA alpska 1kg,"549,90",-,"599,00",-,"549,99","549,90",-
Kobasica CARNEX alpska 1kg,"479,90",-,-,"639,99","648,99","479,90",-
Kobasica YUHOR alpska 1kg,"799,90",-,-,"399,00","499,99","799,90",-
Kobasica ZLATIBORAC alpska 1kg,-,-,"590,99","556,00","499,99","700,98",-
GRAN PODERE ćureća prsa 1kg,"1.199,90",-,"1.499,00","1.399,00","1.149,99","1.199,90",-
Salama ZLATIBORAC goveđa rinfuz 1kg,"1.949,90",-,"1.949,00",-,-,-,-
Mortadela masline PIK 1kg,"1.149,90",-,"1.049,99","839,00","949,99","1.099,90",-
Mortadela PIK 1kg,"1.099,90",-,-,"976,00","919,99","1.049,90",-
Delikates kare CARNEX u omotu 1kg,"1.249,90",-,-,"1.046,00",-,"1.149,90",-
Kobasica YUHOR planinska specijal 325g,-,"129,99",-,"125,99","125,99","139,99",-
Salama CARNEX Delikates sa povrćem 1kg,-,-,"466,99","379,00","466,99",-,-
Salama CARNEX Posebna 350g,-,-,-,-,"169,99","239,99",-
Ćureće grudi NEOPLANTA 1kg,-,-,"849,00","719,00",-,"999,90",-
Kobasica MOJA pileća 1kg,-,-,"301,99",-,-,-,-
Kobasica MOJA specijal 325g,"159,99",-,"131,99","149,99","119,99","149,99",-
Kobasica NEOPLANTA Ćuri 300g,"149,99",-,"155,99",-,"142,99","149,99",-
Kobasica NEOPLANTA PIPI 1kg,"369,90",-,"431,99",-,-,"369,90",-
Kobasica NEOPLANTA Pipi 500g,"219,99","289,99","199,99","259,99","186,99","219,99",-
Kobasica NEOPLANTA Pipi povrće 300g,"159,99",-,"164,99","179,99",-,"159,99",-
Kobasica NEOPLANTA Pipi sir 300g,"159,99","174,99","173,99","159,99","142,99","159,99",-
Pileće grudi NEOPLANTA 350g,"369,99","289,99","279,99","279,99","319,99","339,99",-
Pileće grudi NEOPLANTA sa paprikom 350g,-,"279,99","338,99","269,99",-,"399,99",-
Kobasica POLI classic 220g,"219,99","159,99","207,99","159,99","218,99","209,99","199,99"
Kobasica POLI light 220g,"229,99",-,-,-,-,"209,99",-
Kobasica POLI sa sirom 220g,"229,99",-,-,-,"217,99","209,99",-
Kobasica WUDY POP ćuretina piletina 500g,-,-,-,-,-,"239,99",-
Kobasica YUHOR pileća specijal 325g,"159,99","159,99",-,"125,99","126,99","139,99",-
Salama GALA 220g,"139,99","124,99","134,99","129,99","129,99","129,99",-
Salama PERUTNINA PTUJ posebna 350g,"139,99","134,99","145,99","129,99","153,99","139,99",-
Salama YUHOR pileća posebna 350g,"239,99","225,99",-,"199,99","204,99","219,99",-
Pileća prsa ZLATIBORAC 1kg,"649,90",-,"858,99","1.046,00","699,99","649,90",-
Salama ZLATIBORAC domaća rinfuz 1kg,"999,90",-,"1.749,00",-,"1.614,99","999,90",-
NEOPLANTA Naška šunka 350g,-,"389,99","357,99","369,99","259,99","369,99",-
Šunka NEOPLANTA Naška 1kg,"1.449,90",-,-,"1.210,00",-,"1.399,90",-
Šunka NEOPLANTA stišnjena 350g,"369,99","334,99","369,99","329,99","299,99","349,99",-
Šunka NEOPLANTA za pizzu mini 350g,"299,99","299,99","219,99","289,99","255,99","289,99",-
Pica šunka CARNEX 1kg,"749,90",-,-,"712,99","723,99","719,90",-
Stišnjena šunka YUHOR 1kg,"799,90",-,-,"799,00","1.030,99",-,-
Stišnjena šunka YUHOR 350g,"399,99","279,99",-,"279,99","289,99","389,99",-
Stišnjena šunka ZLATIBORAC 320g,"379,99","359,99",-,"314,99","299,99","329,99",-
Šunka CARNEX stišnjena 350g,"419,99","289,99","399,99","279,99","299,99","389,99",-
Šunka PIK u omotu 1kg,"1.199,90","899,00","1.189,00","879,00","1.182,99","1.049,90",-
Šunka PIK zlatna 1kg,"1.099,90",-,"1.402,99","1.539,00",-,"1.099,90",-
Kobasica NEOPLANTA Gudi 1kg,"419,90",-,"521,99",-,-,"419,90",-
Kobasica NEOPLANTA Gudi 500g,"219,99","309,99","199,99","279,99","193,99","219,99",-
Salama YUHOR posebna 1kg,"549,99",-,-,-,-,-,-
Jagnjetina 1kg,"799,99",-,"899,99",-,-,"799,99","1.099,99"
Juneća leđa sa kostima 1kg,-,-,"1.049,99",-,-,-,-
Juneća rebra 1kg,-,-,"869,99",-,-,"749,99",-
Pileća krilca 1kg,-,-,-,-,"259,99","299,99","309,99"
Pileći batak i karabatak 1kg,-,-,"379,99",-,-,"499,99","389,99"
Ćevapi 1kg,"569,99",-,-,-,-,"569,99","599,99"
Roštilj kobasice 1kg,"519,99",-,-,-,"699,99","519,99",-
Svinjetina 1kg,"629,99",-,"629,99",-,-,"629,99","649,99"
Svinjska plećka bez kostiju 1kg,"737,99",-,-,-,"737,99","737,99",-
Svinjski file 1kg,-,-,-,-,"999,99","1.099,00","769,99"
Svinjski vrat sa kostima 1kg,-,"676,99",-,"676,99","688,99","688,99","619,99"
Kobasica CARNEX domaća 310g,"169,99","149,99","197,99","187,99","211,99","169,99",-
Kobasica CARNEX grill sa sirom 280g,"179,99","169,99",-,"217,99","219,99","179,99",-
Kobasica ZLATIBORAC berlinska 260g,"359,99","359,99",-,"304,99",-,"329,99",-
Levački štapići YUHOR 220g,-,"475,99",-,"449,99","399,99","449,99",-
Viršle GUDI Neoplanta 205g,"119,99","147,99","138,99","134,99",-,"119,99",-
Viršle MOJA specijal 200g,-,-,"109,99",-,"99,99",-,-
Viršle NEOPLANTA Pipi pileća 205g,"119,99","144,99","144,99","129,99",-,"119,99",-
Viršla POLI cocktail 330g,"219,99","284,99","234,99","269,99",-,"219,99",-
Viršle CARNEX Delikates 800g,-,"559,99",-,"524,99","429,99",-,-
Viršle CARNEX Hot dog 410g,-,-,-,-,-,"229,99",-
Viršle CARNEX Smazalice 205g,-,-,-,-,"149,99","179,99",-
Viršle FRANKFURT 100g,"69,99","64,99","69,99","64,99","75,99","69,99","61,99"
Viršle PERUTNINA PTUJ 200g,"109,99","129,99","139,99","129,99","127,99","109,99","124,99"
Viršle POLI pileća 260g,"179,99","229,99","174,99","207,99","215,99","179,99",-
Viršle WUDY 4x100g,"279,99","294,99","256,99","205,99","273,99",-,-
Viršle WUDY family 500g,"319,99","279,99","301,99","263,99",-,-,"257,99"
Viršle WUDY Živinska 1kg,"549,99","544,99","513,99","379,99","547,99","499,99",-
Viršle WUDY Živinska Sir 150g,"109,99","129,99","109,99","104,99","114,99","109,99","126,99"
Viršle ZLATIBORAC Hot dog 240g,"89,99",-,-,-,"137,99","89,99",-
Sladoled ALOMA 3in1 Choco 1000ml,"239,99",-,"389,00","399,99",-,"239,99",-
Sladoled ALOMA biscuit mosaic 900ml,"379,99","499,99",-,"499,99","500,99","379,99",-
Sladoled ALOMA forest fruits 900ml,"379,99",-,"500,00",-,"500,99","379,99",-
Sladoled BEN&JERRY'S Chocolate Fudge Brownie 465ml,-,"720,00",-,"720,00",-,-,-
Sladoled BEN&JERRY'S Netflix&chilld 465ml,-,"720,00",-,"720,00",-,-,-
Sladoled BEN&JERRY'S Salted caramel core 465ml,-,"720,00",-,"720,00",-,-,-
Sladoled FRIKOM m6 Box kornet II 364g,"329,99",-,"329,99","329,99","329,99",-,-
Sladoled FRIKOM Plazma čaša 450ml,"299,99",-,"389,99","389,99","389,99","299,99",-
Sladoled FRIKOM Plazma kocka 900ml,"339,99","439,99","329,99","439,99","439,99","339,99",-
Sladoled HIGHLIFE čokolada 460ml,"449,99","449,99",-,"449,99","449,99",-,-
Sladoled QUATTRO Banana Split 900ml,"379,99","319,99","329,99","319,99","379,99","379,99",-
Sladoled Quattro čokolada 1.65l,"549,99","549,99","549,99","549,99","549,99","549,99",-
Sladoled QUATTRO Lino lada 1650ml,"569,99",-,-,-,"569,99","569,99",-
Sladoled Quattro pistaći 2008 1.65l,"549,99","544,99","549,99","544,99","549,99","549,99",-
Sladoled Quattro zuppa 1.65l,"419,99","549,99","549,99","549,99","399,99","419,99",-
Sladoled Strauss vanila 700ml,"239,99",-,"234,99","299,99","299,99","239,99",-
Sladoled Twice vanila čokolada 470g,"249,99",-,"250,00","249,99","249,99","249,99",-
Sladoled Vulkano jagoda vanila 500ml,"199,99",-,"149,99","199,99","149,99","199,99",-
Sladoled 4You PREMIA švarcvald 900g,-,-,-,"399,99",-,-,-
Žito Frikom smrznuto sa šlagom 150g,"149,99","149,99","131,99","142,99","137,99","149,99",-
Panirani riblji štapići POLAR 250g,"224,99",-,-,-,-,"209,99",-
Dagnje FRIKOM 300g,"649,99",-,"672,99",-,"670,99","549,99",-
Gambori BARKA 400g,-,-,"660,99",-,-,-,-
Girice BARKA 1kg,-,-,"334,99",-,-,-,-
Panirani odrezak oslića FRIKOM 400g,"529,99","489,99","506,99","469,99","514,99",-,-
Panirani riblji štapići FRIKOM 300g,"299,99","297,99","280,99","289,99","299,99","289,99",-
Plodovi mora BARKA 400g,-,-,"588,99",-,-,-,-
Smrznuta lignja FRIKOM koluti i kraci 500g,"1.199,99",-,"1.242,99",-,"1.305,99","1.159,99",-
Smrznuta riba FRIKOM oslić filet 500g,"829,99","828,99","785,99","799,99","800,99","799,99",-
Smrznute lignje BARKA očišćene 400g,-,-,"909,99",-,-,-,-
Papalina OCEAN SEA 1kg,-,-,-,-,-,-,"214,99"
Patagonijske lignje OCEAN SEA tube i krakovi 360g,-,-,-,-,-,-,"549,99"
FRIKOM krompir domaćinski 750g,"299,99",-,"271,99","289,99","279,99",-,-
FRIKOM pomfrit polupržen 1kg,"249,99","257,99","292,99","279,99","279,99","249,99",-
"Pomfrit FRESCO 2,5kg",-,-,"640,99",-,-,"499,99",-
Kroketi HARVEST BASKET od krompira 750g,-,-,-,-,-,-,"112,99"
FAMILY boranija žuta 900g,-,-,-,-,"199,99",-,-
FAMILY kraljevski mix 900g,-,"289,99",-,"259,99","234,99",-,-
FAMILY ruska salata 900g,-,-,-,-,"179,99",-,-
POLAR baby mix 400g,-,"179,99","185,99","169,99","217,99","199,99",-
POLAR brokoli 400g,"204,99",-,"185,99",-,-,"179,99",-
POLAR kineski mix 400g,"199,99","219,99",-,"209,99","209,99","184,99",-
POLAR mešavina za đuveč 400g,"139,99",-,"134,99",-,-,"132,99",-
POLAR ruska salata 400g,"139,99",-,"134,99",-,"149,99","129,99",-
FRIGLO brokoli 450g,"239,99","209,99",-,"194,99",-,"219,99",-
FRIGLO grašak 450g,"154,99",-,-,-,-,"144,99",-
FRIGLO kukuruz šećerac 450g,"154,99","109,99",-,"99,99",-,"144,99",-
FRIGLO ruska salata 450g,"149,99","134,99",-,"124,99",-,"139,99",-
FRIGLO zelena boranija 450g,"149,99",-,-,-,-,"144,99",-
FRIGLO žuta boranija 450g,"149,99","139,99",-,"124,99",-,"144,99",-
FRIKOM blitva u briketima 400g,"189,99","189,99","180,99","179,99",-,"179,99",-
FRIKOM boranija žuta 450g,"124,99","129,99","129,99","135,99","147,99","124,99",-
FRIKOM brokoli 450g,"169,99",-,"179,99","169,99","179,99","154,99",-
FRIKOM carska mešavina 450g,"199,99","159,99","149,99","149,99","179,99","169,99",-
FRIKOM grašak 700g,"249,99",-,"209,99","245,99","249,99",-,-
FRIKOM kineska mešavina 450g,"189,99","189,99","177,99","179,99","179,99","179,99",-
FRIKOM kukuruz šećerac 450g,"139,99","138,99","146,99","137,99","149,99","139,99",-
FRIKOM meksička mešavina 450g,"219,99","219,99","179,99","179,99","199,99","179,99",-
FRIKOM mešano za belu čorbu 450g,"139,99","163,99","150,99","147,99","150,99","129,99",-
FRIKOM mešano za đuveč 450g,"157,99","156,99","154,99","142,99","153,99","144,99",-
FRIKOM organski grašak 350g,"259,99","259,99",-,"239,99",-,"239,99",-
FRIKOM rižoto 400g,"269,99","269,99",-,"249,99",-,"249,99",-
FRIKOM ruska salata 900g,-,-,-,-,-,"219,99",-
FRIKOM seckani crni luk 300g,"149,99",-,"129,99","144,99","130,99","144,99",-
FRIKOM zlatna mešavina 450g,"129,99","148,99","147,99","137,99","150,99","129,99",-
Krosani FRIKOM 1kg,"399,99",-,"341,99","354,99","354,99","354,99",-
POLAR domaća kiflica sa kremom 500g,"279,99",-,-,-,-,"259,99",-
POLAR domaća kiflica sa susamom 500g,-,-,-,-,-,"259,99",-
POLAR rolnica sir 500g,-,-,-,-,-,"259,99",-
POLAR žu-žu 500g,"249,99",-,-,-,"236,99","219,99",-
FRIKOM rolnice pizza 800g,"299,99",-,"279,99","349,99","349,99","299,99",-
Rolnice FRIKOM kulen sir 800g,"299,99","369,99","279,99","354,99","349,99","299,99",-
Rolnice FRIKOM pizza 1kg,-,-,-,-,-,"359,99",-
Smrznuti Žu-žu FRIKOM susam 1kg,-,-,-,-,-,"249,99",-
POLAR mini pizza 500g,-,-,-,-,-,"289,99",-
Pica Ristorante mozzarella 325g,-,-,"433,99","398,99","426,99","429,99",-
Pica Ristorante quattro formaggi 305g,"449,99",-,"433,99","419,99","426,99","429,99",-
Podloga za picu FRIKOM integralna 200g,-,-,-,"92,99","101,99","92,99",-
FRIKOM Zvrk pita krompiruša 900g,"429,99","429,99","381,99","389,99","399,99","399,99",-
Knedle FRIKOM kokos čokolada 400g,-,"335,99",-,"319,99",-,"319,99",-
Knedle FRIKOM nugat milk 500g,"369,99","369,99","331,99","349,99","349,99","349,99",-
Pita FRIKOM kajsija suncokret 1kg,"389,99",-,-,-,-,"369,99",-
Pita FRIKOM sa malinama 1kg,-,-,-,-,-,"369,99",-
Savijača TRATTORIA ALFREDO sir 1kg,-,-,-,-,-,-,"319,99"
Štrudle FRIKOM vanila i šumsko voće 500g,"289,99","289,99","288,99","259,99","274,99",-,-
Štrudle CONFISERIE FIRENZE sa jabukom 600g,-,-,-,-,-,-,"206,99"
FRIKOM Chicken nuggets 300g,"549,99","549,99","399,99","489,99","496,99","489,99",-
FRIKOM Lasagne bolognese 450g,"459,99","434,99","375,99","424,99","419,99","424,99",-
TOPPO ćureći medaljoni 1kg,-,-,-,-,-,-,"599,99"
BONITO čaj kamilica 24g,-,-,"89,99",-,-,-,-
BONITO čaj šipak 56g,-,-,"144,99",-,-,-,-
MILFORD Peppermint 90g,"379,99","329,99","369,99","329,99","329,99","329,99",-
TEEKANNE Chamomile 36g,"289,99","289,99","279,99","230,99","238,99","279,99",-
TEEKANNE Peppermint 30g,"289,99","289,99","279,99","279,99","276,99","279,99",-
LORD NELSON peppermint 25x1.5g,-,-,-,-,-,-,"149,99"
SIR WINSTON Earl grey 35g,"359,99","334,99",-,"286,99",-,-,-
TEEKANNE Irish cream 33g,"349,99",-,-,-,-,"339,99",-
LORD NELSON Earl gray 25x1.75g,-,-,-,-,-,-,"149,99"
Instant čaj MILFORD breskva 400g,"319,99",-,-,-,-,"294,99",-
Instant čaj MILFORD limun 400g,"319,99",-,-,-,-,-,-
TEEKANNE Fit & Slim 32g,-,-,-,"319,99",-,"319,99",-
BONITO čaj aronija 48g,-,-,"199,99",-,-,"249,99",-
BONITO čaj šumsko voće 50g,"184,99",-,"159,99",-,-,"184,99",-
MILFORD Berry selection 45g,-,-,"290,99",-,"264,99",-,-
MILFORD Cranberry & Black currant 50g,-,-,-,-,-,"269,99",-
MILFORD Strawberry yoghurt 50g,"309,99","309,99",-,"248,99","299,99","264,99",-
SIR WINSTON English breakfast 35g,"359,99","334,99",-,"286,99",-,-,-
TEEKANNE Fruit love 50g,-,-,-,-,-,"264,99",-
TEEKANNE Love 50g,"309,99","359,99",-,"333,99","304,99","309,99",-
TEEKANNE Magic apple 45g,"339,99",-,"287,99",-,-,-,-
TEEKANNE Orange & ginger 45g,"309,99","349,99","314,99","339,99","292,99","309,99",-
TEEKANNE Planinski raj 36g,"289,99",-,"279,99","242,99","238,99","279,99",-
TEEKANNE Winter time 50g,"319,99",-,-,-,-,-,-
SIR WINSTON Green tea 35g,"359,99","334,99",-,"317,99",-,"339,99",-
TEEKANNE Sencha royal 35g,-,"294,99",-,"257,99",-,"264,99",-
TEEKANNE zeleni čaj đumbir limun 35g,"349,99","334,99","314,99","286,99","289,99","339,99",-
Zeleni čaj MILFORD 35g,"274,99","274,99","299,99","259,99","241,99","259,99",-
LORD NELSON zeleni jasmin 25x1.75g,-,-,-,-,-,-,"189,99"
BOOSTER 0.5l,"64,99","89,99","86,99","84,99","83,99","64,99",-
BOOSTER Grapefruit 500ml,"64,99",-,"82,99",-,"81,99","64,99",-
BOOSTER Memory 0.5l,"64,99",-,"82,99",-,-,"64,99",-
GUARANA 250ml,"57,99","59,99","62,99","59,99","61,99","57,99","58,99"
GUARANA Aphrodisiac 250ml,"57,99",-,"62,99",-,"61,99","57,99",-
GUARANA Cactus 250ml,"57,99",-,"62,99",-,"61,99","57,99",-
"GUARANA Joker 0,5l","84,99",-,"69,99","72,00","82,99","84,99",-
GUARANA No sleep 330ml,-,-,-,"99,99","99,99","99,99",-
HELL classic 250ml,"49,99","64,99","66,99","64,99","64,99","49,99",-
HELL red grape 250ml,"64,99",-,"64,99","53,99","64,99","64,99",-
Monster Energy 500ml,"154,99","154,99","164,99","148,99",-,"149,99",-
Monster White 500ml,"154,99","154,99",-,"148,99",-,"149,99",-
NOCCO BCAA+ citro zova 330ml,"259,99",-,-,-,-,"254,99",-
NOCCO BCAA+ tropical 330ml,-,-,-,-,-,"254,99",-
RED BULL 2pack 2x250ml,"269,99","279,99","274,99","219,99",-,"259,99",-
ROCKSTAR Original 330ml,-,-,-,-,-,"57,99",-
ROCKSTAR Xdurance 330ml,-,-,-,-,-,"57,99",-
ULTRA ENERGY 250ml,"69,99","69,99","54,00","67,99","59,99","60,99",-
ULTRA energy malina Zero 250ml,"69,99","69,99",-,"67,99","66,99","67,99",-
ULTRA energy passion 250ml,"69,99","69,99","54,00","67,99","66,99","67,99",-
ULTRA Orange 250ml,-,"69,99","54,00","67,99","66,99","67,99",-
Kafa BARCAFEE Premium 100g,"189,99","189,99","139,99","179,99",-,"179,99",-
Kafa BONITO Prava kafa 100g,"114,99","128,99","109,99","124,99","109,99","114,99",-
Kafa BONITO Prava kafa 500g,"617,99","617,99","611,99","569,99","609,99","569,99",-
Kafa BONITO tamno pržena 200g,"272,99","272,99","239,99","257,99","256,99","257,99",-
Kafa C 200g,"299,99","214,99","289,99","204,99","279,99","287,99","227,99"
Kafa C zlatna 100g,"204,99","203,99","189,99","191,99","184,99","192,99",-
Kafa DOBRO JUTRO 100g,"131,99",-,"146,99",-,-,"131,99",-
Kafa DOBRO JUTRO light 100g,"112,99",-,"99,99",-,-,"112,99",-
Kafa DONCAFE 3 sec 2 1 black 8g,"39,99","27,99","25,99","21,99","24,99","32,99",-
Kafa DONCAFE Minas 100g,"192,99","191,99","179,99","174,99","149,99","174,99",-
Kafa DONCAFE Minas 500g,"844,99","830,99","793,99","838,99","719,99","839,99",-
Kafa DONCAFE Moment 200g,"389,99","359,99","299,99","299,99","249,99","372,99","289,99"
Kafa DONCAFE Strong 100g,"149,99","217,99","189,99","194,99",-,"149,99",-
Kafa DONCAFE Uganda 100g,"192,99","308,99","261,99","251,99","206,99","192,99",-
Kafa FRANCK jubilarna 175g,"252,99","239,99","289,99","229,99",-,"252,99",-
Kafa GRAND 100% arabica 200g,"369,99","369,99","323,99","334,99","316,99","334,99",-
Kafa GRAND Aroma 200g,"299,99","259,00","297,99","254,00","279,99","279,99",-
Kafa GRAND Aroma dekofe 200g,"529,99",-,"424,99",-,-,"442,99",-
Kafa GRAND Black & Easy big pack 160g,"399,99","504,99","446,99","464,99","461,99","399,99",-
Kafa GRAND Black&Easy sa šećerom 11g,"24,99","29,99","29,99","26,99",-,"24,99",-
Kafa GRAND Gold 100g,"169,99","167,99","139,99","156,99","139,99","159,99",-
Kafa GRAND Gold 500g,"779,99","772,99","759,99","723,99","759,99","737,99",-
Kafa GRAND Strong 200g,"329,99","289,99","328,99","284,99","314,99","314,99",-
Kafa JACOBS Tradicionalna 200g,"299,99","299,99","319,99","294,99","434,99","299,99",-
Kafa KAFICA 100g,"157,99",-,"124,99",-,"149,99","152,99",-
Instant kafa GRAND staklo 100g,"369,99",-,-,-,-,"339,99",-
Instant kafa JACOBS Crema gold 100g,"499,99","449,99","499,99","439,99","592,99","499,99",-
Instant kafa JACOBS Cronat gold 100g,"499,99","449,99","499,99","439,99","592,99","499,99",-
Instant kafa JACOBS Cronat gold 75g,"439,99",-,"429,99",-,-,"399,99",-
Instant kafa JACOBS Monarch 100g,"499,99","449,99","499,99","439,99","592,99","499,99",-
Instant kafa JACOBS Monarch 200g,"949,99","649,99","699,99","639,00","699,99","899,99",-
Instant kafa NESCAFE Black roast 200g,"629,99","874,99","837,99","806,99","819,99","629,99",-
Instant kafa NESCAFE Classic 200g,"599,99","699,99","599,99","669,99","619,99","599,99",-
Instant kafa NESCAFE Classic 3in1 175g,"189,99","188,99","259,99","184,99","253,99","189,99",-
Instant kafa NESCAFE Classic bez kofeina 100g,"539,99","559,99","512,99","514,99","475,99","514,99",-
Instant kafa NESCAFE Classic kesa 2g,"24,99","23,99","24,99","20,99","18,99",-,-
Instant kafa Nescafe Classic mild 200g,"599,99",-,"788,99",-,"649,99","599,99",-
Instant kafa NESCAFE Creme 100g,"472,99","472,99","469,99","456,99","458,99","587,99",-
Instant kafa NESCAFE Gold 100g,"604,99","604,99","459,99","587,99","572,99","587,99",-
Instant kafa NESCAFE Gold 75g,"397,99",-,"345,99",-,"337,99",-,-
Instant kafa NESCAFE Gold crema 200g,"739,99","1.019,00","799,99","997,99","739,99","739,99",-
Instant kafa NESCAFE Strong 3in1 10kom 180g,"189,99","188,99","252,99","184,99","253,99","189,99",-
Instant kafa BELLAROM 3u1 180g 10kom,-,-,-,-,-,-,"119,99"
Instant kafa BELLAROM Cappuccino classic 250g,-,-,-,-,-,-,"219,99"
Instant kafa BELLAROM Crema 150g,-,-,-,-,-,-,"419,99"
Instant kafa BELLAROM Gold 200g,-,-,-,-,-,-,"599,99"
Instant kafa BELLAROM Mild 100g,-,-,-,-,-,-,"249,99"
Filter kafa DONCAFE 250g,"592,99","591,99","530,99","524,99","460,99","524,99",-
Filter kafa BELLAROM Gold 250g,-,-,-,-,-,-,"499,99"
Instant kafa DONCAFE 2u1 12g,"7,99","16,99","18,99","15,99","16,99","7,99",-
"Instant kafa DONCAFE Cappuccino vanila 3u1 12,5g","19,99","17,99","15,99","16,99",-,"16,99",-
Instant kafa DONCAFE Nougat Cream 3u1 16g,"19,99",-,"15,99",-,"19,99","16,99",-
Instant kafa GRAND 2in1 Slim&Fit 12.5g,"29,99","24,99","20,99","23,99","24,99","28,99",-
Instant kafa GRAND 3in1 Choco banana 18g,"29,99","23,99","20,99","18,99","19,99","23,99",-
Instant kafa GRAND 3in1 classic 20g,"19,99","15,99","16,99","14,99","16,99","19,99",-
Instant kafa GRAND Cappuccino classic 15g,"34,99","38,99","25,99","26,99","29,99","31,99",-
Instant kafa GRAND Cappuccino vanilla 18g,"38,99","32,99","25,99","26,99","29,99","31,99",-
Instant kafa JACOBS 2u1 14g,"24,99","23,99","20,99","22,99","29,99","24,99",-
"Instant kafa JACOBS Intense 3u1 17,5g","32,99",-,-,-,-,"29,99",-
"Instant kafa JACOBS Original 3u1 15,2g","24,99","23,99","20,99","22,99","26,99","24,99",-
"Instant kafa NESCAFE Classic 3u1 16,5g","29,99","25,99","22,99","22,99","20,99","27,99",-
Instant kafa NESCAFE Coffee Creamer 2u1 8g,"29,99","25,99","22,99","22,99","20,99","24,99",-
Instant kafa NESCAFE Macchiato 3u1 17g,-,-,"22,99","26,99","25,99",-,-
Espresso kafa AMIGOS 250g,"349,99",-,-,-,-,"329,99",-
Espresso kafa AMIGOS Silver 1kg,"1.279,99",-,-,-,-,"1.249,99",-
Espresso kafa BARCAFFE cremoso 250g,-,"797,99",-,"714,99",-,"739,99",-
Espresso kafa HAUSBRANDT 1kg,-,"3.024,99","2.999,99","2.899,00",-,"2.899,99",-
Espresso kafa ILLY mlevena 250g,"1.599,99",-,-,-,-,-,-
Kafa BARCAFFE Fantasia 1kg,"2.889,99",-,-,-,-,-,-
Gotova kafa NESCAFE Xpress caffee vanilla 250ml,"169,99","169,99","175,99","151,99","149,99",-,-
Gotova kafa NESCAFE Xpress white 250ml,-,"169,99","175,99","154,99","149,99",-,-
Gotova kafa PARMALAT latte espresso 200ml,"154,99",-,"157,99","163,99",-,"154,99",-
Dodatak za kafu Coffeeta classic 200g,"184,99",-,"159,99","149,99","159,99","149,99",-
HEINEKEN bure 5l,"2.177,99","2.029,00",-,"1.849,00","1.874,99","1.899,99",-
PAULANER original bure 5l,-,-,-,-,"2.097,99","2.234,99",-
"AMSTEL 0,5l","77,99","65,99","62,00","61,00","74,99","74,99",-
"BAVARIA bezalkoholno limenka 0,5l","114,99","114,99","104,99","107,99","107,99","89,99",-
"BECK'S 0,5l","79,99","95,99","92,99","89,99","91,99","79,99",-
"BIRRA MORETTI limenka 0,5l","77,99","79,00","92,99","76,00","90,99","77,99",-
"CARLSBERG limenka 0,5l","84,99","115,99","112,99","84,99","105,99","84,99",-
"ERDINGER limenka 0,5l","119,99","154,99",-,"147,99","155,99","119,99",-
"GAMBRINUS limenka 0,5l","99,99",-,-,-,-,"94,99",-
"GROLSCH limenka 0,5l","164,99",-,-,"157,99","153,99","159,99",-
"GUINNESS 0,44l","169,99","259,99","219,99","249,99",-,"169,99",-
"HEINEKEN bezalkoholno limenka 0,33l","92,99","85,99","80,99","73,99","79,99","87,99",-
"HOEGAARDEN limenka 0,5l","189,99","189,99","139,99","179,99","164,99","179,99",-
"JAGODINSKO limenka 0,5l",-,-,-,"83,99",-,-,-
"JELEN Cool 0,5l","114,99",-,"95,99","99,99","101,99","104,99",-
"JELEN Fresh limun & nana 0,5l limenka","87,99","89,99","114,99","87,99","89,99","87,99",-
"JELEN limenka 0,33l","64,99",-,"57,99",-,"60,99","62,99",-
"KOZEL svetlo 0,5l","122,99","119,99","108,99","112,99","107,99","122,99",-
"KRONENBOURG Blanc 1664 0,5l","84,99","109,99","109,99","108,99","86,99","84,99",-
"LAŠKO bezalkoholno limenka 0,33l",-,-,-,-,-,"52,99",-
"LAŠKO Malt mix lemon 0,0% 0,33l","52,99","67,99","66,99","52,99","61,99","52,99",-
"LAV 0,5l","59,99","59,99","59,99","59,99","59,99","59,99","64,99"
"LAV Twist breskva 0,5l","74,99",-,"97,99","90,99","94,99","74,99",-
"LAV Twist višnja 0% 0,5l","69,99",-,-,-,-,"69,99",-
MYTHOS limenka 0.5l,-,-,"116,99","114,99",-,-,-
"NEKTAR grejp 0,5l","74,99",-,"89,99",-,-,"74,99",-
